time,header,pose
2023/07/13 14:47:54.59870337,"{'stamp': {'secs': 1689252474, 'nsecs': 55516609}, 'frame_id': 'map'}","{'position': {'x': -2.119123935699463, 'y': -0.8287588953971863, 'z': -1.5192835330963135}, 'orientation': {'x': 0.013376310463965091, 'y': 0.018869539100871777, 'z': -0.9971182373933467, 'w': -0.0722511970148414}}"
2023/07/13 14:47:54.148801755,"{'stamp': {'secs': 1689252474, 'nsecs': 144090086}, 'frame_id': 'map'}","{'position': {'x': -2.115237236022949, 'y': -0.8292068839073181, 'z': -1.5193642377853394}, 'orientation': {'x': 0.013352489440972087, 'y': 0.018872804638471467, 'z': -0.9971177669340107, 'w': -0.07226124227647135}}"
2023/07/13 14:47:54.256359518,"{'stamp': {'secs': 1689252474, 'nsecs': 254713389}, 'frame_id': 'map'}","{'position': {'x': -2.1119792461395264, 'y': -0.8299437761306763, 'z': -1.5212078094482422}, 'orientation': {'x': 0.013341865088363073, 'y': 0.018872272769860535, 'z': -0.9971173162376723, 'w': -0.07226956216448166}}"
2023/07/13 14:47:54.352527910,"{'stamp': {'secs': 1689252474, 'nsecs': 344544852}, 'frame_id': 'map'}","{'position': {'x': -2.1091458797454834, 'y': -0.830803632736206, 'z': -1.5229544639587402}, 'orientation': {'x': 0.013338691037699232, 'y': 0.01886703927661632, 'z': -0.9971188355199225, 'w': -0.07225055018288157}}"
2023/07/13 14:47:54.464409013,"{'stamp': {'secs': 1689252474, 'nsecs': 452058949}, 'frame_id': 'map'}","{'position': {'x': -2.105149745941162, 'y': -0.8315472602844238, 'z': -1.5248236656188965}, 'orientation': {'x': 0.013333007185717054, 'y': 0.01886546205770782, 'z': -0.9971185951677675, 'w': -0.07225532804847606}}"
2023/07/13 14:47:54.553646039,"{'stamp': {'secs': 1689252474, 'nsecs': 544297219}, 'frame_id': 'map'}","{'position': {'x': -2.102059841156006, 'y': -0.8323473930358887, 'z': -1.525341510772705}, 'orientation': {'x': 0.013317115656408552, 'y': 0.01885396258355141, 'z': -0.99711945565906, 'w': -0.07224938526846975}}"
2023/07/13 14:47:54.678795343,"{'stamp': {'secs': 1689252474, 'nsecs': 650487275}, 'frame_id': 'map'}","{'position': {'x': -2.0954132080078125, 'y': -0.8314507603645325, 'z': -1.52488374710083}, 'orientation': {'x': 0.013278686273910904, 'y': 0.01883255600142945, 'z': -0.9971212206344588, 'w': -0.07223768189621715}}"
2023/07/13 14:47:54.758995416,"{'stamp': {'secs': 1689252474, 'nsecs': 754346802}, 'frame_id': 'map'}","{'position': {'x': -2.091125965118408, 'y': -0.8312137126922607, 'z': -1.5243282318115234}, 'orientation': {'x': 0.013257957592236412, 'y': 0.018829761363218893, 'z': -0.9971208297957612, 'w': -0.07224761196675694}}"
2023/07/13 14:47:54.862143432,"{'stamp': {'secs': 1689252474, 'nsecs': 850534045}, 'frame_id': 'map'}","{'position': {'x': -2.088261842727661, 'y': -0.8304211497306824, 'z': -1.5235776901245117}, 'orientation': {'x': 0.01325594381143373, 'y': 0.018812663226987582, 'z': -0.9971218852200012, 'w': -0.07223786867901555}}"
2023/07/13 14:47:54.945559561,"{'stamp': {'secs': 1689252474, 'nsecs': 942645335}, 'frame_id': 'map'}","{'position': {'x': -2.0860135555267334, 'y': -0.8299920558929443, 'z': -1.5232508182525635}, 'orientation': {'x': 0.013283668436309954, 'y': 0.018803220743135236, 'z': -0.9971222892461025, 'w': -0.07222965686732041}}"
2023/07/13 14:47:55.57320655,"{'stamp': {'secs': 1689252475, 'nsecs': 51151446}, 'frame_id': 'map'}","{'position': {'x': -2.0838918685913086, 'y': -0.829689085483551, 'z': -1.520751714706421}, 'orientation': {'x': 0.013296818437446121, 'y': 0.01881925002161821, 'z': -0.9971205407214113, 'w': -0.07224719869659518}}"
2023/07/13 14:47:55.150760961,"{'stamp': {'secs': 1689252475, 'nsecs': 150078506}, 'frame_id': 'map'}","{'position': {'x': -2.081961154937744, 'y': -0.8298656940460205, 'z': -1.5191667079925537}, 'orientation': {'x': 0.013307735956396014, 'y': 0.018830135279031872, 'z': -0.997121012642004, 'w': -0.07223583817519225}}"
2023/07/13 14:47:55.244258156,"{'stamp': {'secs': 1689252475, 'nsecs': 238537275}, 'frame_id': 'map'}","{'position': {'x': -2.0785634517669678, 'y': -0.8306204080581665, 'z': -1.5179210901260376}, 'orientation': {'x': 0.01330031076545193, 'y': 0.01884023542255545, 'z': -0.9971219084333791, 'w': -0.07222220562223697}}"
2023/07/13 14:47:55.354309832,"{'stamp': {'secs': 1689252475, 'nsecs': 348857893}, 'frame_id': 'map'}","{'position': {'x': -2.0753774642944336, 'y': -0.8316301107406616, 'z': -1.5177428722381592}, 'orientation': {'x': 0.013268557816379683, 'y': 0.018851887417371684, 'z': -0.9971203577327599, 'w': -0.07224641104697893}}"
2023/07/13 14:47:55.447063350,"{'stamp': {'secs': 1689252475, 'nsecs': 443235374}, 'frame_id': 'map'}","{'position': {'x': -2.074974775314331, 'y': -0.8323221802711487, 'z': -1.5163753032684326}, 'orientation': {'x': 0.01330242205246767, 'y': 0.018868740059540232, 'z': -0.9971199133179331, 'w': -0.07224191775514494}}"
2023/07/13 14:47:55.559333260,"{'stamp': {'secs': 1689252475, 'nsecs': 558719971}, 'frame_id': 'map'}","{'position': {'x': -2.074720859527588, 'y': -0.8332528471946716, 'z': -1.5156246423721313}, 'orientation': {'x': 0.013322588647559254, 'y': 0.01887346620582956, 'z': -0.9971185390930064, 'w': -0.07225593333515407}}"
2023/07/13 14:47:55.643338802,"{'stamp': {'secs': 1689252475, 'nsecs': 642589162}, 'frame_id': 'map'}","{'position': {'x': -2.0747017860412598, 'y': -0.8342360258102417, 'z': -1.5139800310134888}, 'orientation': {'x': 0.01335298762283532, 'y': 0.01889352780057766, 'z': -0.9971196691877376, 'w': -0.07222947907696564}}"
2023/07/13 14:47:56.39616225,"{'stamp': {'secs': 1689252475, 'nsecs': 740451252}, 'frame_id': 'map'}","{'position': {'x': -2.073899269104004, 'y': -0.8351830244064331, 'z': -1.514187216758728}, 'orientation': {'x': 0.013384349808788444, 'y': 0.01891067824003842, 'z': -0.9971190820235234, 'w': -0.07222729188654164}}"
2023/07/13 14:47:56.45053628,"{'stamp': {'secs': 1689252475, 'nsecs': 842142114}, 'frame_id': 'map'}","{'position': {'x': -2.06846022605896, 'y': -0.8347481489181519, 'z': -1.517004132270813}, 'orientation': {'x': 0.01332886989537325, 'y': 0.018891789305445352, 'z': -0.9971190941962604, 'w': -0.07224232494445204}}"
2023/07/13 14:47:56.48330351,"{'stamp': {'secs': 1689252475, 'nsecs': 940759289}, 'frame_id': 'map'}","{'position': {'x': -2.0636205673217773, 'y': -0.8345295786857605, 'z': -1.518455982208252}, 'orientation': {'x': 0.01327568804051647, 'y': 0.018893689785746022, 'z': -0.9971181742874883, 'w': -0.07226431414548135}}"
2023/07/13 14:47:56.55460958,"{'stamp': {'secs': 1689252476, 'nsecs': 50337199}, 'frame_id': 'map'}","{'position': {'x': -2.0580832958221436, 'y': -0.8332425951957703, 'z': -1.520117998123169}, 'orientation': {'x': 0.013239480484573414, 'y': 0.018866542766986318, 'z': -0.9971181767009688, 'w': -0.07227801472823947}}"
2023/07/13 14:47:56.146974984,"{'stamp': {'secs': 1689252476, 'nsecs': 146195437}, 'frame_id': 'map'}","{'position': {'x': -2.0537941455841064, 'y': -0.8326178789138794, 'z': -1.520869493484497}, 'orientation': {'x': 0.013216540627973465, 'y': 0.0188628160773053, 'z': -0.9971159997497836, 'w': -0.07231320948797898}}"
2023/07/13 14:47:56.255531858,"{'stamp': {'secs': 1689252476, 'nsecs': 253332160}, 'frame_id': 'map'}","{'position': {'x': -2.0482163429260254, 'y': -0.8304952383041382, 'z': -1.5231621265411377}, 'orientation': {'x': 0.013206693842511103, 'y': 0.01884564017150267, 'z': -0.9971147563464631, 'w': -0.07233662806911934}}"
2023/07/13 14:47:56.357369196,"{'stamp': {'secs': 1689252476, 'nsecs': 351002748}, 'frame_id': 'map'}","{'position': {'x': -2.0442588329315186, 'y': -0.8295020461082458, 'z': -1.5256707668304443}, 'orientation': {'x': 0.013212658098145792, 'y': 0.018849577962324414, 'z': -0.9971119927721639, 'w': -0.07237259803646734}}"
2023/07/13 14:47:56.455784572,"{'stamp': {'secs': 1689252476, 'nsecs': 450534593}, 'frame_id': 'map'}","{'position': {'x': -2.0396533012390137, 'y': -0.8273187279701233, 'z': -1.5284180641174316}, 'orientation': {'x': 0.01320913309422648, 'y': 0.01884344511678943, 'z': -0.9971128005084152, 'w': -0.07236370942188325}}"
2023/07/13 14:47:56.555148659,"{'stamp': {'secs': 1689252476, 'nsecs': 550009568}, 'frame_id': 'map'}","{'position': {'x': -2.0360395908355713, 'y': -0.8252702951431274, 'z': -1.5301456451416016}, 'orientation': {'x': 0.01323395578847593, 'y': 0.018838819599474938, 'z': -0.9971114846368931, 'w': -0.07237850851943428}}"
2023/07/13 14:47:56.642451954,"{'stamp': {'secs': 1689252476, 'nsecs': 635585233}, 'frame_id': 'map'}","{'position': {'x': -2.0345523357391357, 'y': -0.8232625722885132, 'z': -1.5289881229400635}, 'orientation': {'x': 0.013276247495256202, 'y': 0.018823985859243924, 'z': -0.9971126537721666, 'w': -0.0723585136403676}}"
2023/07/13 14:47:56.745088116,"{'stamp': {'secs': 1689252476, 'nsecs': 738792834}, 'frame_id': 'map'}","{'position': {'x': -2.032956600189209, 'y': -0.8216298222541809, 'z': -1.527785301208496}, 'orientation': {'x': 0.013310358661398616, 'y': 0.018820169060895398, 'z': -0.9971113717894184, 'w': -0.0723709046305766}}"
2023/07/13 14:47:56.850202770,"{'stamp': {'secs': 1689252476, 'nsecs': 849713608}, 'frame_id': 'map'}","{'position': {'x': -2.0293967723846436, 'y': -0.8209301233291626, 'z': -1.5286693572998047}, 'orientation': {'x': 0.013298964901452348, 'y': 0.018849985937869712, 'z': -0.9971097859589044, 'w': -0.0723870866085915}}"
2023/07/13 14:47:56.948969678,"{'stamp': {'secs': 1689252476, 'nsecs': 947842265}, 'frame_id': 'map'}","{'position': {'x': -2.0260815620422363, 'y': -0.8205782175064087, 'z': -1.5291705131530762}, 'orientation': {'x': 0.013278120244984714, 'y': 0.01885431537807066, 'z': -0.9971104191418315, 'w': -0.07238106349857648}}"
2023/07/13 14:47:57.35123694,"{'stamp': {'secs': 1689252477, 'nsecs': 34581607}, 'frame_id': 'map'}","{'position': {'x': -2.02335524559021, 'y': -0.8204392790794373, 'z': -1.5285518169403076}, 'orientation': {'x': 0.013285414708839068, 'y': 0.01885392567517369, 'z': -0.9971085319691868, 'w': -0.07240581963421344}}"
2023/07/13 14:47:57.151427999,"{'stamp': {'secs': 1689252477, 'nsecs': 150874320}, 'frame_id': 'map'}","{'position': {'x': -2.020721673965454, 'y': -0.8200899958610535, 'z': -1.5282557010650635}, 'orientation': {'x': 0.01330931059256977, 'y': 0.018873597949486717, 'z': -0.9971071311525254, 'w': -0.07241559608794318}}"
2023/07/13 14:47:57.251676184,"{'stamp': {'secs': 1689252477, 'nsecs': 246935921}, 'frame_id': 'map'}","{'position': {'x': -2.01928448677063, 'y': -0.8172037601470947, 'z': -1.5268580913543701}, 'orientation': {'x': 0.013349919931106744, 'y': 0.018848444438789698, 'z': -0.9971071405057079, 'w': -0.07241454365389144}}"
