time,data
2023/07/13 14:48:03.621257029,-44
2023/07/13 14:48:06.147652289,-44
2023/07/13 14:48:08.427658124,-47
2023/07/13 14:48:11.327524136,-45
2023/07/13 14:48:13.853710705,-44
2023/07/13 14:48:16.370013796,-34
2023/07/13 14:48:18.896126401,-34
2023/07/13 14:48:21.310787557,-37
2023/07/13 14:48:23.847632163,-38
2023/07/13 14:48:26.347712757,-45
2023/07/13 14:48:28.904351963,-50
2023/07/13 14:48:31.129253677,-49
2023/07/13 14:48:33.534853145,-50
2023/07/13 14:48:35.887994089,-39
2023/07/13 14:48:38.475567676,-39
2023/07/13 14:48:40.968722448,-36
2023/07/13 14:48:43.463101755,-40
2023/07/13 14:48:46.12656200,-43
