time,data
2023/07/13 14:48:01.32359707,-40
2023/07/13 14:48:02.352676498,-42
2023/07/13 14:48:04.913461899,-43
2023/07/13 14:48:07.272314650,-44
2023/07/13 14:48:10.52530338,-44
2023/07/13 14:48:12.642651361,-39
2023/07/13 14:48:15.159273993,-41
2023/07/13 14:48:17.609749305,-34
2023/07/13 14:48:20.101293334,-36
2023/07/13 14:48:22.665351632,-36
2023/07/13 14:48:25.288227398,-47
2023/07/13 14:48:27.680814787,-47
2023/07/13 14:48:30.73285648,-49
2023/07/13 14:48:32.374255695,-49
2023/07/13 14:48:34.679769464,-43
2023/07/13 14:48:37.164295931,-37
2023/07/13 14:48:39.661974050,-36
2023/07/13 14:48:42.176837868,-33
2023/07/13 14:48:44.780172662,-42
