time,data
2023/07/13 14:48:01.32676241,60
2023/07/13 14:48:02.353363861,60
2023/07/13 14:48:04.913861895,57
2023/07/13 14:48:07.272772831,54
2023/07/13 14:48:10.53773697,58
2023/07/13 14:48:12.643051172,60
2023/07/13 14:48:15.159784655,59
2023/07/13 14:48:17.610166616,67
2023/07/13 14:48:20.102434917,64
2023/07/13 14:48:22.665707981,66
2023/07/13 14:48:25.289055984,59
2023/07/13 14:48:27.681155563,52
2023/07/13 14:48:30.73674756,50
2023/07/13 14:48:32.374699469,53
2023/07/13 14:48:34.680121443,61
2023/07/13 14:48:37.268412236,63
2023/07/13 14:48:39.662399343,63
2023/07/13 14:48:42.177295310,67
2023/07/13 14:48:44.780658178,60
